         3683 function calls (3666 primitive calls) in 0.049 seconds

   Ordered by: cumulative time
   List reduced from 512 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.036    0.036 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\serialization.py:908(save)
        1    0.003    0.003    0.022    0.022 C:\Users\tetsu\Serverside\edge_server\endpoints\aggregation.py:91(_fedavg_state_dicts_weighted)
        1    0.000    0.000    0.012    0.012 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\serialization.py:797(__exit__)
        1    0.010    0.010    0.010    0.010 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\serialization.py:1141(_save)
        4    0.000    0.000    0.007    0.002 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\asyncio\base_events.py:1954(_run_once)
        3    0.000    0.000    0.007    0.002 C:\Users\tetsu\Serverside\edge_server\endpoints\aggregation.py:745(aggregate_and_send_to_central_server)
        9    0.000    0.000    0.006    0.001 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\asyncio\events.py:87(_run)
        9    0.000    0.000    0.006    0.001 {method 'run' of '_contextvars.Context' objects}
        2    0.000    0.000    0.006    0.003 C:\Users\tetsu\Serverside\tools\run_edge_profiler.py:41(run_profile)
       10    0.005    0.000    0.005    0.000 {built-in method torch.isinf}
        1    0.000    0.000    0.004    0.004 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\serialization.py:822(_open_zipfile_writer)
        1    0.000    0.000    0.004    0.004 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\serialization.py:775(__init__)
       20    0.004    0.000    0.004    0.000 {method 'any' of 'torch._C.TensorBase' objects}
        1    0.004    0.004    0.004    0.004 {built-in method torch.stack}
        1    0.000    0.000    0.004    0.004 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\serialization.py:171(get_crc32_options)
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
       10    0.004    0.000    0.004    0.000 {built-in method torch.isnan}
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        3    0.000    0.000    0.004    0.001 C:\Users\tetsu\Serverside\edge_server\endpoints\aggregation.py:212(_save_temp_aggregated)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:911(_load_unlocked)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1020(exec_module)
        6    0.000    0.000    0.003    0.000 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:548(write_text)
        6    0.000    0.000    0.003    0.000 C:\Users\tetsu\AppData\Local\Programs\Python\Python313\Lib\pathlib\_abc.py:644(write_text)
